"","cpg","trait","cpg_pos","lead_snp","cis","b_wald_ratio","se_wald_ratio","p_wald_ratio","coloc_nsnp","coloc_h0","coloc_h1","coloc_h2","coloc_h3","coloc_h4"
"33","cg22892036","Height","chr7:28189139","rs1029534",TRUE,0.045,0.0033,3.3e-43,10,2.70842086068009e-73,3.31365447100277e-41,1.19082986057381e-33,0.144838543276563,0.855161456723449
"34","cg13879495","Inflammatory bowel disease","chr22:22005669","rs1034329",TRUE,-0.131499173267521,0.0207,2.172e-10,93,2.10839495155107e-135,2.08800309898056e-07,5.49054255537136e-130,0.0534278224599048,0.946571968739809
"35","cg09584711","Total cholesterol","chr16:72096944","rs1035559",TRUE,0.0245,0.0037,6.59e-10,164,0,7.88063534042935e-41,0,3.13775672121564e-14,1
"36","cg09584711","LDL cholesterol","chr16:72096944","rs1035559",TRUE,0.0249,0.0039,1.728e-09,116,0,1.6618640207507e-41,0,0,1
"37","cg26840770","Hip circumference","chr11:27723290","rs1038660",TRUE,0.025,0.0041,8.3e-10,41,4.76567415448454e-27,1.02791275516599e-08,6.23844218964737e-21,0.0124682230567535,0.987531766664122
"38","cg26840770","Waist circumference","chr11:27723290","rs1038660",TRUE,0.028,0.0039,9.5e-13,42,5.53689073474883e-31,1.19421998624823e-12,1.70225390775052e-20,0.0357506821426261,0.964249317856174
"39","cg21395782","Height","chr19:19626814","rs10407933",TRUE,-0.027,0.004,1.9e-11,40,2.50626873669367e-55,1.0738151222019e-07,9.98334445996645e-50,0.0418156256373995,0.95818426698109
"40","cg13544743","Systemic lupus erythematosus","chr6:106596012","rs1040893",TRUE,0.198850858745165,0.0312761025745746,1.79153e-11,11,3.16255274379746e-14,1.42927308123121e-07,3.15620067981549e-09,0.0132773009624522,0.986722552954007
"41","cg03969906","Height","chr6:26021768","rs10425",TRUE,0.024,0.0031,1.1e-14,29,1.64546329429858e-43,6.41916724438199e-13,3.82070652664258e-33,0.0139189942220938,0.98608100577726
"42","cg06712651","Birth weight","chr12:66351869","rs1042725",TRUE,-0.0419,0.0036,7.1e-32,86,0,1.37455265799575e-27,6.36224302920588e-314,0.0459071325081209,0.954092867491872
"43","cg06712651","Height","chr12:66351869","rs1042725",TRUE,-0.058,0.0029,6.5e-88,38,0,1.8693547312907e-87,6.63160812227736e-315,0.00383929946645587,0.996160700533549
"44","cg06712651","Extreme height","chr12:66351869","rs1042725",TRUE,0.24,0.025,2e-21,25,0,1.51422030452438e-18,6.95451546264558e-314,0.0490871136169799,0.950912886383026
"45","cg09682183","Crohn's disease","chr6:167705253","rs1044059",TRUE,-0.156899454248532,0.0232,1.398e-11,316,3.19657939610108e-140,9.47131038084322e-09,4.45916542224166e-133,0.131254172214287,0.868745818314397
"46","cg26146617","Height","chr2:232260305","rs10445830",TRUE,-0.022,0.0034,9e-11,18,7.44591302251474e-36,2.27175745546512e-07,4.76297544573742e-30,0.144463445325029,0.855536327499227
"47","cg18495884","Schizophrenia","chr7:2020099","rs10479762",TRUE,-0.0773022993580922,0.0107,5.634e-13,24,5.94691898116263e-23,6.4008605995877e-10,4.68168470936564e-16,0.00404309125966418,0.995956908100252
"48","cg19373090","Red blood cell count","chr19:797215","rs10480299",FALSE,0.0168,0.0027,8.117e-11,10,1.85583792915941e-136,6.22828756267851e-08,2.03354488362499e-131,0.00583051181798927,0.994169425899148
"49","cg19373090","Haemoglobin concentration","chr19:797215","rs10480299",FALSE,0.052,0.0072,5.117e-14,10,1.2680605759912e-138,4.25567652760833e-10,7.36563545410241e-132,0.00147341856944203,0.998526581004998
"50","cg19373090","Packed cell volume","chr19:797215","rs10480299",FALSE,0.1509,0.0236,5.221e-11,10,2.43632183132268e-136,8.1764214009691e-08,1.33737095966918e-131,0.00349177760022552,0.99650814063557
"51","cg14348439","Years of schooling","chr2:100938444","rs10496346",TRUE,0.022,0.003,1.929e-17,176,5.67105660918508e-29,3.49412837482776e-10,2.8049283006741e-20,0.171993042807835,0.828006956842758
"52","cg23550016","HDL cholesterol","chr17:37821447","rs1053651",TRUE,0.0349,0.0038,1.669e-18,172,6.31280883753077e-74,2.51399067328258e-16,1.06794488788987e-59,0.041571030686955,0.958428969313035
"53","cg19964811","Waist-to-hip ratio","chr7:25896490","rs1055144",TRUE,0.026,0.004,1e-10,32,5.97297433167412e-60,6.15778671993097e-07,1.19152310076106e-55,0.0112952011527527,0.988704183068564
"54","cg17804498","Height","chr8:23167318","rs1063582",TRUE,0.026,0.0035,4.9e-14,50,0,4.3991972988454e-10,0,0.0988746200476129,0.901125379512472
"55","cg13189671","Schizophrenia","chr12:123750782","rs10734900",TRUE,-0.0860046112211286,0.0119,4.819e-13,267,6.92473007630752e-47,6.55743503380608e-10,1.09124509761387e-38,0.102438868660932,0.89756113068332
"56","cg07392860","Neuroticism","chr8:10617394","rs1073913",TRUE,-0.023,0.003,2.641e-11,118,1.44699745445502e-29,8.08678977200676e-12,1.28843605421365e-19,0.0710775034513459,0.928922496540564
"57","cg21198586","Height","chr11:12791832","rs10741601",TRUE,-0.021,0.003,2.4e-12,51,8.55576372376993e-40,1.85466553565224e-11,8.47270146150807e-31,0.0173839821045935,0.982616017876856
"58","cg10005224","Lumbar spine bone mineral density","chr12:54424964","rs10747689",TRUE,-0.057257,0.009095,8.05e-10,24,5.85738593390119e-31,4.52173057462184e-07,2.44865815189069e-25,0.18821746333569,0.811782084491257
"59","cg14506196","Crohn's disease","chr10:101295400","rs10748781",TRUE,-0.219101730487878,0.0238,3.715e-20,14,3.24929780545025e-40,6.05807346422984e-17,8.12429498007126e-27,0.000515229447140254,0.999484770552862
"60","cg14506196","Inflammatory bowel disease","chr10:101295400","rs10748781",TRUE,-0.176498543491166,0.0174,4.278e-24,14,3.29611616688261e-44,6.14536280796323e-21,7.78726802421606e-25,0.144332137629691,0.855667862370315
"61","cg24376776","Crohn's disease","chr10:101297245","rs10748782",TRUE,0.198498337600494,0.0233,1.485e-17,33,2.36206318761321e-42,1.19682768080475e-16,1.76953470425632e-28,0.00797398356071609,0.992026016439279
"62","cg14553377","Birth weight","chr11:2139449","rs10770098",TRUE,-0.0244,0.0041,2e-09,21,7.93914757323196e-27,1.34281162323229e-05,1.37174695953731e-23,0.022223692243966,0.977762879639804
"63","cg04849824","Years of schooling","chr7:148769189","rs10772782",FALSE,0.016,0.003,7.463e-10,22,1.29899666413279e-42,0.000365069943559708,7.66426158552128e-41,0.0205605617347553,0.979074368321687
"64","cg27079118","Systemic lupus erythematosus","chr7:128809298","rs1077482",TRUE,0.182321556793955,0.0297957315679211,2.19958e-10,10,1.70636305561655e-12,3.13160362185727e-07,5.096523366527e-08,0.00836175909285232,0.991637876779847
"65","cg20907517","Ulcerative colitis","chr20:47894756","rs10781507",FALSE,-0.153500890985761,0.0213,5.792e-13,87,1.49625774239049e-275,9.28622104751075e-10,3.47700490295286e-268,0.0205999276054013,0.979400071465929
"66","cg20907517","Inflammatory bowel disease","chr20:47894756","rs10781507",FALSE,-0.177799795383418,0.0171,2.399e-25,170,1.65362728026804e-287,1.03736019916363e-21,3.25237144091153e-268,0.01942233129365,0.980577668706323
"67","cg20907517","Crohn's disease","chr20:47894756","rs10781507",FALSE,-0.212203611275875,0.0235,1.721e-19,170,5.13758217493441e-282,3.22292897063576e-16,4.16905890476706e-268,0.025178688777659,0.974821311222317
"68","cg14729344","Height","chr10:121129753","rs10787959",TRUE,0.027,0.0033,1.9e-16,63,2.75260867534509e-21,1.55546363492033e-12,8.39477127705315e-12,0.00374752442301181,0.996252475567036
"69","cg04645342","Waist circumference","chr1:72748124","rs10789340",TRUE,-0.023,0.0034,1e-11,39,1.19932416951536e-20,5.91098796037545e-08,3.54885340644059e-16,0.00074983744868256,0.99925010344144
"70","cg04645342","Body mass index","chr1:72748124","rs10789340",TRUE,-0.0285,0.0031,1.124e-19,44,5.35886125593314e-29,2.73345253309894e-16,2.1545519663561e-16,9.90948046878122e-05,0.999900905195313
"71","cg23606171","Rheumatoid arthritis","chr1:2559822","rs10797436",TRUE,-0.0943106794712413,0.014097622110982,5e-12,24,2.81613548315989e-48,1.81688124500617e-08,2.881752461587e-42,0.0176097621519565,0.982390219679224
"72","cg20744353","Rheumatoid arthritis","chr1:2724584","rs10797442",TRUE,0.0953101798043249,0.0139181082271516,9.5e-12,92,1.10204337441016e-19,6.6027512676148e-10,3.01447924701293e-11,0.17978843898454,0.820211560325037
"73","cg24411946","Urate","chr10:52645408","rs10821871",TRUE,-0.046,0.0069,4.26350672296907e-10,20,0,9.83483918892657e-10,0,0.00339937647728473,0.996600622539287
"74","cg07008591","Height","chr11:12809661","rs10831907",TRUE,-0.023,0.003,1.9e-14,91,3.79691871469128e-68,1.28891792562862e-11,8.19799126669478e-59,0.0268561005268298,0.973143899460288
"75","cg14193765","Body mass index","chr1:231664591","rs10838739",FALSE,-0.0207,0.0029,1.802e-12,18,1.02976187940323e-34,8.01497774484227e-09,2.8227733823281e-28,0.0209915716629143,0.979008420322103
"76","cg14193765","Fasting proinsulin","chr1:231664591","rs10838739",FALSE,-0.045,0.007,1.511e-10,18,1.24190455782143e-33,1.02259887575415e-07,3.5623961495953e-28,0.0283615521530251,0.971638345587085
"77","cg14480046","Mean platelet volume","chr12:122444580","rs10840630",TRUE,0.0107,0.001,1.607e-24,19,9.73587087582958e-39,3.67090599711278e-22,6.25594196984554e-19,0.0226106133586586,0.977389386641335
"78","cg24087404","Waist-to-hip ratio","chr12:26266049","rs10842707",TRUE,0.026,0.0039,3.6e-11,28,2.35255787696544e-55,1.55259977321946e-07,1.30752542343003e-50,0.00763681330370541,0.992363031436318
"79","cg05677062","HDL cholesterol","chr12:123874707","rs10846513",TRUE,0.0724,0.0105,6.435e-11,18,1.07684765617198e-243,6.5021723263512e-09,2.9684532908358e-236,0.178418208812521,0.821581784685333
"80","cg12495807","HDL cholesterol","chr12:110034952","rs10850435",TRUE,0.0275,0.0034,1.944e-15,47,4.24764466080428e-49,4.43742782257189e-16,4.76630787721386e-35,0.0488414886478103,0.951158511352193
"81","cg25959131","Years of schooling","chr3:50855436","rs10865958",TRUE,0.021,0.003,1.13e-16,173,5.95787737956099e-56,1.97954442524087e-27,2.02117230180708e-30,0.0662210163839287,0.93377898361607
"82","cg24905909","Height","chr12:58027199","rs10876993",TRUE,0.022,0.0031,3.2e-12,21,1.49803524718731e-19,4.6642304627087e-08,1.59564148758526e-13,0.0487300687082229,0.951269884649316
"83","cg04819539","Height","chr12:58167550","rs10877028",TRUE,0.024,0.0036,5.5e-11,42,6.80897058248119e-10,1.97524665736768e-08,0.00272052945306384,0.0780018550980924,0.91927759501548
"84","cg18303477","Birth weight","chr10:94180046","rs10882087",TRUE,0.0232,0.0039,1.8e-09,28,1.04978088648034e-40,9.32823344011653e-09,1.34079348010076e-33,0.118259641804697,0.881740348867077
"85","cg25902889","Inflammatory bowel disease","chr19:4305090","rs10883360",FALSE,0.167097929855798,0.0176,2.527e-21,12,2.67746537965685e-66,7.83411892900832e-18,1.07233441826792e-50,0.0304063315936281,0.969593668406371
"86","cg25902889","Ulcerative colitis","chr19:4305090","rs10883360",FALSE,0.157200310686694,0.0222,1.527e-12,12,6.57664255218525e-58,1.92429005054023e-09,6.03695204089689e-51,0.0166804757283563,0.983319522347353
"87","cg25902889","Crohn's disease","chr19:4305090","rs10883360",FALSE,0.188403027109823,0.0242,7.07e-15,12,4.56682257051431e-60,1.33622759109863e-11,6.25234268411075e-51,0.0173113279544374,0.982688672032191
"88","cg13872898","Ulcerative colitis","chr2:121498194","rs10883363",FALSE,-0.164296979881136,0.0242,1.03e-11,19,2.3897217290987e-63,1.95708694698039e-07,2.12786143893859e-57,0.17343681656903,0.826562987722267
"89","cg13872898","Crohn's disease","chr2:121498194","rs10883363",FALSE,-0.166597825129016,0.0264,2.823e-10,19,6.00330177045871e-63,4.91646512256479e-07,3.66225565067718e-58,0.0290214375446638,0.970978070808817
"90","cg06547732","Total cholesterol","chr1:63154287","rs10889356",TRUE,0.0763,0.0052,5.638e-44,155,1.34951051628456e-108,1.56375400033794e-87,5.23032935965302e-23,0.0596664446842495,0.940333555315739
"91","cg06547732","Triglycerides","chr1:63154287","rs10889356",TRUE,0.0719,0.005,2.495e-41,155,1.48644963695396e-102,1.72243308817424e-81,1.20927419290049e-22,0.139264690452956,0.860735309547045
"92","cg06547732","LDL cholesterol","chr1:63154287","rs10889356",TRUE,0.0482,0.0055,5.948e-17,155,6.15353515244217e-54,7.13044848093832e-33,4.02080141599149e-23,0.0456369322422766,0.954363067757717
"93","cg11016563","Age at menarche","chr11:101454626","rs10895139",TRUE,-0.04,0.00646698712346557,6.2e-10,89,6.54139680102483e-170,1.16114460550948e-06,2.83853939982144e-165,0.0494355363622241,0.950563302493165
"94","cg05198900","Systemic lupus erythematosus","chr11:625023","rs10902178",TRUE,-0.210721031315653,0.0315341724406063,7.3298e-11,20,1.87119905477343e-35,4.76775445121993e-11,5.30003836116846e-27,0.0125168425441442,0.987483157408183
"95","cg13492133","Systemic lupus erythematosus","chr1:183516266","rs10911343",TRUE,-0.3147107448397,0.0490744624100653,2.86069e-10,137,5.58228498619025e-234,1.46089848166057e-07,2.99978917150774e-228,0.0775828448469447,0.922417009063222
"96","cg26568372","Years of schooling","chr1:91190173","rs10922907",TRUE,-0.015,0.002,7.617e-10,15,8.0140300665028e-45,4.04907669015341e-10,6.11055998002541e-38,0.00208944072051768,0.997910558874574
"97","cg20276962","Years of schooling","chr1:243651346","rs10926994",TRUE,-0.016,0.003,1.08e-09,87,2.06459561117935e-144,5.88145564293428e-05,3.65884787593589e-142,0.00943252593866996,0.990508659504917
"98","cg01233720","Years of schooling","chr5:60456037","rs10939879",TRUE,-0.017,0.002,5.869e-12,328,1.33593377399558e-64,1.59189273523778e-14,6.78821277742987e-52,0.079968009137998,0.920031990862
"99","cg16500987","Crohn's disease","chr6:167104761","rs10946204",TRUE,-0.145603973858792,0.0227,1.502e-10,316,9.73567442872163e-114,9.64654615920144e-09,1.35810744534327e-106,0.13370112382799,0.866298866525476
"100","cg23378565","Schizophrenia","chr7:2036160","rs10950415",TRUE,0.0690968660793263,0.0108,1.505e-10,265,0,2.80344770117612e-10,0,0.00982104716143014,0.990178952558203
"101","cg13569651","Systemic lupus erythematosus","chr7:128577926","rs10954213",TRUE,-0.23572233352107,0.0292794680082725,2.76842e-16,27,1.59465541747931e-47,1.10350918332488e-31,6.49098838878659e-19,0.00349529033104496,0.99650470966895
"102","cg08812242","Mean platelet volume","chr19:14606902","rs10970464",FALSE,0.0065,0.0011,1.028e-09,15,3.60187176055406e-124,3.42931975858942e-06,1.68784620950418e-119,0.15985865261363,0.840137918066623
"103","cg01550017","Height","chr5:42924215","rs10978664",FALSE,-0.03,0.0036,3.5e-17,33,7.52959252460011e-66,3.66637841279099e-13,2.51736432334964e-54,0.121699517402034,0.878300482597594
"104","cg13250711","Age at menarche","chr11:13298675","rs11022756",TRUE,0.048,0.00648108340719389,1.3e-13,78,1.86501764917282e-108,9.15002475150713e-10,2.37542645910811e-101,0.0106648231135563,0.989335175971445
"105","cg10633147","Obesity class 1","chr2:68384753","rs11030084",FALSE,0.099,0.016,1e-09,18,1.04932304234684e-47,3.70509340187843e-10,1.30147514631676e-40,0.00359902558453162,0.996400974044961
"106","cg10633147","Overweight","chr2:68384753","rs11030084",FALSE,0.078,0.012,1.8e-11,18,6.01244063464473e-47,2.12295482188074e-09,2.99690965494761e-40,0.00959149024085431,0.990408507636189
"107","cg10633147","Body mass index","chr2:68384753","rs11030084",FALSE,0.0415,0.0047,1.049e-18,18,4.14964357543157e-63,1.46521294310782e-25,1.7474109083353e-40,0.00517517274791171,0.994824827252095
"108","cg10633147","Waist circumference","chr2:68384753","rs11030084",FALSE,0.034,0.0055,1e-09,18,1.5360651874672e-49,5.42374918043465e-12,1.03406106608929e-39,0.0355475908653428,0.96445240912923
"109","cg24065044","Waist circumference","chr11:27723409","rs11030107",TRUE,0.031,0.0037,9.3e-17,15,3.70264977407435e-45,5.11017080707691e-13,1.13044318439144e-34,0.0146163018849635,0.985383698114526
"110","cg24065044","Hip circumference","chr11:27723409","rs11030107",TRUE,0.028,0.004,1.1e-12,15,7.48986053366872e-41,1.03370475155998e-08,9.56183339168126e-35,0.012208866633379,0.987791123029569
"111","cg16820616","Height","chr11:30605581","rs11031116",TRUE,-0.019,0.0031,1.5e-09,24,3.95751140448692e-58,6.55029476731191e-05,5.93933501302732e-55,0.0974026682852139,0.902531828767101
"112","cg04915425","HDL cholesterol","chr11:47236385","rs11039074",TRUE,0.0235,0.0036,2.484e-10,31,1.81178960006372e-43,1.48129583797702e-07,1.28196754888887e-37,0.103915931477196,0.896083920393218
"113","cg20969221","HDL cholesterol","chr11:47264054","rs11039144",TRUE,0.0599,0.0064,1.547e-17,170,9.95190602148537e-68,2.96879555328747e-30,4.96526001273103e-39,0.147268058335974,0.85273194166403
"114","cg19988492","Years of schooling","chr21:38807712","rs11055933",FALSE,0.016,0.003,2.789e-10,70,3.13181895523234e-42,1.77169376657198e-13,2.6923751271883e-31,0.0142452157740933,0.985754784225727
"115","cg27598407","Years of schooling","chr12:14570669","rs11055959",TRUE,0.015,0.002,3.739e-10,23,1.56466234155658e-24,6.92183270747714e-11,8.48519831385126e-16,0.0365738249355641,0.963426174995219
"116","cg11282676","Years of schooling","chr6:26018003","rs11055965",FALSE,0.016,0.002,3.344e-11,40,1.04260198834513e-34,4.08029962082038e-13,6.69351954962056e-24,0.0252208022279082,0.974779197771678
"117","cg26092675","Years of schooling","chr6:26225258","rs11055991",FALSE,0.016,0.003,6.94e-10,13,1.65836348093663e-37,0.00049272543238789,3.12278239901966e-36,0.00828704913769688,0.99122022542992
"118","cg04740264","Schizophrenia","chr16:3632588","rs11057207",FALSE,0.0861960446965716,0.0119,4.31e-13,27,4.11723774446643e-30,6.00127190750367e-10,6.40738361194339e-22,0.0924862946139962,0.907513704785881
"119","cg04740264","Years of schooling","chr16:3632588","rs11057207",FALSE,0.023,0.003,1.82e-15,32,1.14308130548076e-30,2.0015815398812e-10,1.60387757799994e-22,0.0271116559222354,0.972888343877603
"120","cg23288674","Serum creatinine (eGFRcrea)","chr17:37730098","rs11078901",TRUE,-0.0077,0.001,2.4e-13,66,8.30212207315217e-20,9.20866926339652e-11,4.69852797490632e-11,0.051166987213181,0.948833012647746
"121","cg23288674","HDL cholesterol","chr17:37730098","rs11078901",TRUE,0.0344,0.0056,6.42e-10,104,6.93080046239205e-25,1.00379916253407e-15,9.70527839319534e-11,0.13970283657732,0.860297163325626
"122","cg05325934","Height","chr7:28220606","rs1109483",TRUE,0.022,0.003,6.1e-13,16,1.41689672965874e-95,7.58508273990242e-28,1.21262273830671e-70,0.00549703845414967,0.994502961545857
"123","cg00508575","Coronary heart disease","chr12:90050967","rs11105354",TRUE,-0.072974,0.0113483,1.27e-10,25,1.72629236794708e-52,3.00535715183028e-07,1.10664174829095e-47,0.0182841617522127,0.981715537712073
"124","cg01372811","Systemic lupus erythematosus","chr16:85970529","rs11117420",TRUE,-0.287682072451781,0.0409037372640764,1.65186e-15,25,1.29947615058143e-35,1.23104534953082e-09,2.10219866395985e-27,0.198347973606658,0.801652025162294
"125","cg26551412","Inflammatory bowel disease","chr3:49696574","rs11130212",TRUE,-0.132297868014633,0.0167,2.491e-15,74,3.574428869494e-36,2.44414608010622e-12,2.84324414550414e-26,0.0184601788050412,0.981539821192513
"126","cg19066391","Inflammatory bowel disease","chr3:49203973","rs11130222",TRUE,0.110297309612573,0.0172,1.408e-10,53,1.60852767424581e-14,2.38479139624417e-07,6.62229855357732e-10,0.00882699876631245,0.991172762092302
"127","cg26680047","Years of schooling","chr3:49907063","rs11130224",TRUE,-0.022,0.002,1.085e-18,151,2.22758683741455e-34,1.58187015930007e-25,9.53659134603687e-11,0.0667887244909341,0.933211275413695
"128","cg13812452","Birth weight","chr9:98368382","rs111336625",TRUE,0.043,0.0058,1.5e-13,97,3.37513648007115e-66,5.81678769717906e-12,1.92658600855336e-56,0.0322354610440168,0.967764538950164
"129","cg20135002","Height","chr11:47629003","rs1113480",TRUE,-0.024,0.0032,1.6e-13,597,0,1.26482334577132e-15,0,0.0528168794587038,0.947183120541404
"130","cg13948456","Inflammatory bowel disease","chr9:139239853","rs11145889",TRUE,-0.144702125007647,0.0194,7.73e-14,39,1.165142195791e-36,2.06297199013159e-11,3.64284337545243e-27,0.0635628477860965,0.936437152193272
"131","cg06512974","Systemic lupus erythematosus","chr16:31120226","rs11150617",TRUE,-0.186329578191493,0.0307724458644425,5.25328e-10,13,5.52820529108364e-13,2.23449374881007e-08,2.10461590720617e-07,0.00751434607423732,0.992485421118681
"132","cg08251765","Height","chr8:135642080","rs11166612",TRUE,0.031,0.0031,3.6e-23,39,1.18949091833141e-100,2.62266761920336e-25,3.40345124890168e-77,0.0741156417809876,0.925884358219011
