Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Gene	Type	Beta	SE	P	Details
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg01979157	chr1:2161013	SKI	Island			2.23e-12	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg05603985	chr1:2161049	SKI	Island			4.8e-15	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg09469355	chr1:2161886	SKI	South shore			3.34e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg08884752	chr1:2162001	SKI	South shore			4.43e-13	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg15564619	chr1:2163437	SKI	South shelf			7.03e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg26687579	chr1:2243111		North shelf			1.01e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg19825898	chr1:2949651		Open sea			4.81e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg24150662	chr1:2949673		Open sea			5.18e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg04134748	chr1:3052175	PRDM16	Open sea			4.75e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg01309569	chr1:5950209	NPHP4	North shore			7.65e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg01715088	chr1:6520772	ESPN	Island			1.83e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg21012139	chr1:6553510	PLEKHG5	South shelf			1.01e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg12547807	chr1:9473751		Open sea			6.52e-20	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg07793148	chr1:9712988	C1orf200;PIK3CD	Island			9.61e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg23098018	chr1:9775755	PIK3CD	Island			2.93e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg01320698	chr1:9788517	PIK3CD	North shore			1.06e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg07035320	chr1:9885517	CLSTN1	South shore			4.22e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg04885881	chr1:11123118		South shelf			1.35e-28	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg21826784	chr1:11795937	AGTRAP	North shore			1.67e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg19940644	chr1:12112386		Open sea			3.38e-13	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg21393163	chr1:12217629		Open sea			1.54e-20	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg09069072	chr1:15482753	TMEM51	South shore			2.95e-13	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg21913886	chr1:15485346	TMEM51	South shelf			7.26e-11	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg04211179	chr1:16301562	ZBTB17	North shore			1.82e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg09012001	chr1:19250279	IFFO2	Open sea			7.5e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg17163404	chr1:19414438	UBR4	Open sea			2.79e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg19713429	chr1:19810690	CAPZB	North shore			1.9e-16	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg01693305	chr1:19813311	CAPZB	South shore			2.47e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg19276111	chr1:24229232	CNR2	Island			6.31e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg24452347	chr1:24229300	CNR2	Island			5.08e-11	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg26404511	chr1:24229575	CNR2	South shore			1.33e-13	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg03611151	chr1:24229581	CNR2	South shore			1.33e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg07967717	chr1:24229682	CNR2	South shore			4.81e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg26856289	chr1:24307516	SFRS13A	South shore			1.51e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg04991639	chr1:25175737		South shore			4.27e-12	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg15498134	chr1:25246854	RUNX3	Open sea			4.31e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg10951873	chr1:25254746	RUNX3	North shore			2.69e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg27537125	chr1:25349681		Open sea			2.7e-30	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg22442430	chr1:25876626	LDLRAP1	Open sea			9.58e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg03519967	chr1:26010346	MAN1C1	Open sea			1.84e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg16417374	chr1:26098310	MAN1C1	South shore			4.3e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg26937868	chr1:26202601		South shore			4.73e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg24313303	chr1:27113219	PIGV	North shore			6.58e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg22429121	chr1:27901805	AHDC1	Island			5.12e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg14510299	chr1:27928494	AHDC1	North shore			4.15e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg12465678	chr1:27953336	FGR	Open sea			2.79e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg21115433	chr1:27961868	FGR	South shore			7.73e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg23840027	chr1:29225533	EPB41	Open sea			5.57e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg15059804	chr1:33766318	ZNF362	Open sea			1.19e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg25722983	chr1:36840028	STK40	Open sea			9.04e-13	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg01937809	chr1:37941854	ZC3H12A	South shore			1.76e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg23093580	chr1:39491322	NDUFS5	Open sea			5.54e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg24142464	chr1:40040489	PABPC4	North shore			7.24e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg16736826	chr1:41951512	EDN2	Open sea			3.22e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg23762517	chr1:42384310	HIVEP3	South shore			9.41e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg26038582	chr1:42384390	HIVEP3	South shore			1.44e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg15937073	chr1:42384564	HIVEP3	South shore			2.18e-08	
